attributes.Ambience.divey,attributes.RestaurantsDelivery,attributes.DogsAllowed,postal_code,hours.Thursday,attributes.BestNights.sunday,attributes.BYOB,attributes.AgesAllowed,attributes.Music.video,hours.Friday,latitude,attributes.Alcohol,attributes.Ambience.classy,attributes.RestaurantsTableService,business_id,attributes.Ambience.touristy,attributes.RestaurantsCounterService,attributes.Corkage,attributes.RestaurantsGoodForGroups,categories,name,attributes.BusinessAcceptsBitcoin,attributes.HappyHour,attributes.WheelchairAccessible,attributes.Ambience.hipster,attributes.BusinessAcceptsCreditCards,is_open,attributes.DietaryRestrictions.vegetarian,attributes.Music.live,attributes.Music.background_music,neighborhood,attributes.BusinessParking.lot,attributes.Music.karaoke,review_count,attributes.GoodForMeal.breakfast,attributes.NoiseLevel,state,attributes.DriveThru,attributes.HasTV,attributes.GoodForMeal.dinner,attributes.BusinessParking.street,address,attributes.RestaurantsAttire,hours.Sunday,attributes.BestNights.tuesday,attributes.AcceptsInsurance,attributes.BestNights.wednesday,hours.Wednesday,attributes.Open24Hours,attributes.Ambience.trendy,attributes.CoatCheck,hours.Monday,city,attributes.Music.no_music,hours.Tuesday,stars,attributes.RestaurantsPriceRange2,attributes.Ambience.intimate,attributes.GoodForMeal.latenight,attributes.GoodForMeal.dessert,attributes.BusinessParking.validated,attributes.GoodForMeal.lunch,attributes.GoodForKids,attributes.DietaryRestrictions.soy-free,attributes.GoodForMeal.brunch,attributes.BusinessParking.valet,longitude,attributes.DietaryRestrictions.gluten-free,attributes.BYOBCorkage,attributes.BusinessParking.garage,attributes.BestNights.friday,hours.Saturday,attributes.Music.dj,attributes.BestNights.saturday,attributes.Ambience.casual,attributes.BestNights.thursday,attributes.BestNights.monday,attributes.DietaryRestrictions.kosher,attributes.WiFi,attributes.Smoking,attributes.DietaryRestrictions.halal,attributes.GoodForDancing,attributes.ByAppointmentOnly,attributes.Caters,attributes.RestaurantsReservations,attributes.DietaryRestrictions.dairy-free,attributes.DietaryRestrictions.vegan,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale,attributes.RestaurantsTakeOut,attributes.BikeParking,attributes.OutdoorSeating
,,,61820,11:00-22:00,,,,,11:00-23:00,40.1102758,,,,1923,,,,,"[u'Food', u'Ice Cream & Frozen Yogurt']",Beri Frozen Yogurt,,,True,,True,0,,,,,False,,13,,,IL,,,,True,701 S 6th St,,,,,,11:00-22:00,,,,11:00-22:00,Champaign,,11:00-22:00,4.0,1.0,,,,False,,,,,False,-88.23041040000001,,,False,,11:00-22:00,,,,,,,free,,,,,,,,,,,,,,
,,,61820,18:30-21:30,,,,,18:30-21:30,40.1155929,,,,2103,,,,,"[u'Shopping', u'Arts & Entertainment', u'Event Planning & Services', u'Art Galleries', u'Venues & Event Spaces']",The Art Party Studio,,,,,True,0,,,,,,,5,,,IL,,,,,111 S Walnut St,,,,,,18:30-21:30,,,,,Champaign,,18:30-21:30,3.5,,,,,,,,,,,-88.24297879999999,,,,,18:30-21:30,,,,,,,,,,,,,,,,,,,,,
,,False,61820,10:00-21:00,,,,,10:00-21:00,40.1374653,,,,2636,,,,,"[u'Fashion', u'Used', u'Vintage & Consignment', u'Shopping']",Plato's Closet,,,True,,True,1,,,,,True,,8,,,IL,,,,False,29 E Marketview Dr,,12:00-18:00,,,,10:00-21:00,,,,10:00-21:00,Champaign,,10:00-21:00,3.0,1.0,,,,False,,,,,False,-88.2414285,,,False,,10:00-21:00,,,,,,,,,,,,,,,,,,,,False,
,,,61820,7:30-17:30,,,,,7:30-17:00,40.112846000000005,,,,2820,,,,,"[u'Auto Repair', u'Automotive']",Rick's Automotive Service,,,,,True,1,,,,,,,10,,,IL,,,,,54 E Springfield Ave,,,,,,7:30-17:30,,,,7:30-17:30,Champaign,,7:30-17:30,4.5,,,,,,,,,,,-88.23945400000001,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61820,8:00-17:00,,,,,8:00-17:00,40.133907,,,,2821,,,,,"[u'Movers', u'Self Storage', u'Local Services', u'Home Services']",Federal/O'Byrne Moving & Storage,,,,,,1,,,,,,,10,,,IL,,,,,401 W Kenyon Rd,,10:00-16:00,,,,8:00-17:00,,,,8:00-17:00,Champaign,,8:00-17:00,2.5,,,,,,,,,,,-88.2486681,,,,,9:00-15:00,,,,,,,,,,,,,,,,,,,,,
,,,61820,9:00-17:00,,,,,9:00-17:00,40.088439,,,,2990,,,,,"[u'Professional Services', u'Graphic Design', u'Web Design']",ThirdSide,,,,,,1,,,,,,,4,,,IL,,,,,701 Devonshire Dr,,,,,,9:00-17:00,,,,9:00-17:00,Champaign,,9:00-17:00,4.0,,,,,,,,,,,-88.254522,,,,,,,,,,,,,,,,,,,,,,,,,,
False,,,61820,10:30-21:00,,,,False,10:30-21:00,40.110251399999996,full_bar,False,False,3004,False,,,True,"[u'Bars', u'Nightlife', u'Restaurants', u'American (New)']",Papa D's Bar & Grill,,True,,False,True,1,,False,False,,False,False,4,False,average,IL,,True,False,False,401 E Green St,casual,12:00-20:00,,,,10:30-21:00,,False,False,10:30-21:00,Champaign,False,10:30-21:00,3.0,2.0,False,False,False,False,False,False,,False,False,-88.2335202,,,False,,10:30-21:00,False,,False,,,,free,,,True,,True,False,,,False,False,False,,,True
,,,61820,11:00-2:00,,,,,11:00-2:00,40.1093708,full_bar,,True,3005,,,,False,"[u'Nightlife', u'Bars', u'Pubs', u'Restaurants', u'American (Traditional)']",White Horse Inn,,,,,True,0,,,,,False,,11,,loud,IL,,True,,False,510 E John St,casual,11:00-2:00,,,,11:00-2:00,,,False,11:00-2:00,Champaign,,11:00-2:00,3.0,1.0,,,,False,,False,,,False,-88.23085920000001,,,False,,11:00-2:00,,,,,,,,outdoor,,,,,False,,,,,,True,True,True
False,True,,61820,10:00-23:30,,,,,10:00-23:30,40.1221402,none,False,False,3006,False,,,True,"[u'Fish & Chips', u'Restaurants', u'American (Traditional)']",Tasty Fish Chicken & Grill,,,,False,True,1,,,,,False,,4,,average,IL,,False,,False,705 N Neil St,casual,13:00-23:30,,,,10:00-23:30,,False,,10:00-12:00,Champaign,,10:00-23:30,4.0,2.0,False,,,False,,True,,,False,-88.2435608,,,False,,10:00-23:30,,,False,,,,no,,,,,,False,,,False,,False,True,True,False
,,,61820,8:30-17:30,,,,,8:30-17:30,40.121275,,,,3020,,,,,"[u'Coffee Roasteries', u'Brewing Supplies', u'Coffee & Tea', u'Food', u'Grocery', u'Shopping']",Columbia Street Roastery By Herriott's,,,True,,True,1,,,,,True,,29,,,IL,,,,True,24 Columbia St,,,,,,8:30-17:30,,,,8:30-17:30,Champaign,,8:30-17:30,4.5,2.0,,,,False,,,,,False,-88.242132,,,False,,9:00-13:30,,,,,,,no,,,,,,,,,,,,True,True,False
,,,61820,10:30-22:00,,,,,10:30-23:00,40.1290679,,,,3086,,,,,"[u'Restaurants', u'Seafood', u'Fast Food']",Long John Silver's,,,,,,1,,,,,,,3,,,IL,,,,,1217 N Prospect,,10:30-22:00,,,,10:30-22:00,,,,10:30-22:00,Champaign,,10:30-22:00,2.5,,,,,,,,,,,-88.2583071,,,,,10:30-23:00,,,,,,,,,,,,,False,,,,,,,,
,,,61820,9:30-19:00,,,,,9:30-19:00,40.1092149772,,,,3087,,,,,"[u'Hair Salons', u'Hair Stylists', u'Beauty & Spas']",Lee's Hair Salon,,,,,True,1,,,,,False,,22,,,IL,,,,False,715 S 6th St,,11:00-18:30,,,,9:30-19:00,,,,9:30-19:00,Champaign,,9:30-19:00,4.5,2.0,,,,False,,False,,,False,-88.2304437831,,,False,,9:30-19:00,,,,,,,,,,,False,,,,,,,,,True,
False,False,,61820,17:00-22:00,,False,,,17:00-22:00,40.116715,full_bar,False,True,3202,False,,,True,"[u'Restaurants', u'Tapas Bars']",Luna,,,True,False,True,0,,,,,False,,64,False,quiet,IL,,False,True,True,116 N Chestnut St,dressy,10:00-14:00,,,,17:00-22:00,,False,,17:00-22:00,Champaign,,17:00-22:00,3.5,2.0,False,False,False,False,False,False,,False,False,-88.240606,,no,False,,10:00-14:00,,,False,,,,,,,,,,True,,,False,,False,True,,True
,,,61820,9:00-19:00,,,,,9:00-19:00,40.110056,,,,3696,,,,,"[u'Shopping', u'Sporting Goods', u'Accessories', u'Fashion', u'Sports Wear']",Gameday Spirit,,,True,,True,1,,,,,False,,4,,,IL,,,,True,519 E Green St,,10:00-19:00,,,,9:00-19:00,,,,9:00-19:00,Champaign,,9:00-19:00,4.0,2.0,,,,True,,,,,False,-88.230618,,,True,,9:00-19:00,,,,,,,,,,,,,,,,,,,,True,
,,,61822,10:00-20:00,,,,,10:00-20:00,40.148451,,,,3804,,,,,"[u'Shopping', u'Home & Garden', u'Furniture Stores', u'Mattresses']",Denver Mattress,,,,,True,1,,,,,True,,3,,,IL,,,,False,2711 N. Prospect Ave.,,12:00-18:00,,,,10:00-20:00,,,,10:00-20:00,Champaign,,10:00-20:00,5.0,3.0,,,,False,,,,,False,-88.25901390000001,,,False,,10:00-20:00,,,,,,,,,,,,,,,,,,,,False,
,,,61821,,,,,,,40.1374723,,,True,4221,,,,,"[u'Restaurants', u'Steakhouses']",Lone Star Steakhouse & Saloon,,,,,,0,,,,,,,3,,,IL,,,,,901 W Anthony Dr,casual,,,,,,,,,,Champaign,,,3.0,,,,,,,,,,,-88.2586063,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61820,5:00-22:00,,,,,5:00-21:00,40.1202626702,,,,4227,,,,,"[u'Yoga', u'Trainers', u'Fitness & Instruction', u'Gyms', u'Active Life']",Evolve Fitness Club,,,,,,0,,,,,,,6,,,IL,,,,,508 N Neil St,,8:00-17:30,,,,5:00-22:00,,,,5:00-22:00,Champaign,,5:00-22:00,3.0,,,,,,,False,,,,-88.24341326950001,,,,,8:00-18:00,,,,,,,,,,,,,,,,,,,,,
,,,61820,11:00-18:00,,,,,10:00-17:00,40.120022600000006,,,,4228,,,,,"[u""Children's Clothing"", u'Accessories', u'Pet Stores', u'Home & Garden', u'Home Decor', u'Shopping', u'Fashion', u'Pets']","B. Lime, A Green Store",,,,,,0,,,,,,,5,,,IL,,,,,12 E Washington St,,12:00-15:30,,,,11:00-18:00,,,,10:00-14:00,Champaign,,11:00-18:00,4.5,2.0,,,,,,,,,,-88.2429257,,,,,10:00-17:00,,,,,,,,,,,,,,,,,,,,,
False,False,,61820,11:00-22:00,,,,,11:00-22:30,40.1298862,full_bar,False,True,4449,False,,,True,"[u'Restaurants', u'Mexican']",Dos Reales,,,True,False,True,1,,,,,True,,170,False,average,IL,,False,True,False,1407 N Prospect Ave,casual,11:00-22:00,,,,11:00-22:00,,False,,11:00-22:00,Champaign,,11:00-22:00,4.0,1.0,False,False,False,False,True,True,,False,False,-88.2584824,,no,False,,11:00-22:30,,,True,,,,no,,,,,True,True,,,False,,False,True,True,True
False,False,,61820,16:00-2:00,False,,,False,16:00-2:00,40.1150169,full_bar,False,True,4457,False,,,True,"[u'American (Traditional)', u'Restaurants', u'Karaoke', u'Nightlife', u'Tapas Bars']",The Clark Bar,,True,True,False,True,1,,True,False,,False,False,16,False,average,IL,,True,True,True,207 W Clark St,casual,,False,,True,16:00-2:00,,False,False,,Champaign,False,16:00-2:00,4.5,1.0,False,True,False,False,False,False,,False,False,-88.2461385,,,False,True,16:00-2:00,True,True,False,False,False,,no,outdoor,,True,,True,False,,,False,True,False,True,True,True
,,,61822,9:00-21:30,,,,,9:00-21:30,40.139707,,,,4659,,,,,"[u'Fashion', u'Shopping', u'Department Stores', u'Discount Store']",Gordmans,,,,,True,1,,,,,False,,4,,,IL,,,,False,1901 N Market St,,10:00-21:30,,,,9:00-21:30,,,,9:00-21:30,Champaign,,9:00-21:30,4.5,2.0,,,,False,,,,,False,-88.238969,,,False,,9:00-21:30,,,,,,,,,,,,,,,,,,,,True,
,,,61820,,,,,,,40.1167333,,,,4690,,,,,"[u'Home Decor', u'Home & Garden', u'Shopping']",Ten Thousand Villages,,,True,,True,1,,,,,False,,8,,,IL,,,,True,105 N Walnut St,,,,,,,,,,,Champaign,,,4.0,3.0,,,,False,,,,,False,-88.2428608,,,False,,,,,,,,,,,,,,,,,,,,,,True,
False,,,61820,15:00-2:00,False,,,False,15:00-2:00,40.116827656999995,full_bar,False,,4691,False,,,True,"[u'Bars', u'Nightlife']",Quality Beer,,False,,False,True,1,,False,True,,False,False,38,,average,IL,,False,,True,110 N Neil St,,15:00-2:00,False,,False,15:00-2:00,,False,False,15:00-2:00,Champaign,False,15:00-2:00,3.5,1.0,False,,,False,,,,,False,-88.2433574314,,,False,True,15:00-2:00,False,True,False,True,False,,,outdoor,,False,,,False,,,False,False,False,,True,True
,,,61820,8:00-17:00,,,,,8:00-17:00,40.115991799999996,,,,4739,,,,,"[u'Property Management', u'Real Estate Agents', u'Home Services', u'Apartments', u'Real Estate', u'Real Estate Services']",Ramshaw Real Estate,,,,,True,1,,,,,,,8,,,IL,,,,,505 W University Ave,,0:00-0:00,,,,8:00-17:00,,,,8:00-17:00,Champaign,,8:00-17:00,1.0,,,,,,,,,,,-88.2508895,,,,,0:00-0:00,,,,,,,,,,,False,,,,,,,,,,
,,,61820,,,,,,,40.110501899999996,,,,4784,,,,,"[u'Dentists', u'Health & Medical', u'General Dentistry']","Thomas E Standley, DMD",,,,,True,1,,,,,,,10,,,IL,,,,,"30 E Green St, Ste 1",,,,True,,,,,,,Champaign,,,4.5,,,,,,,,,,,-88.24118399999999,,,,,,,,,,,,,,,,True,,,,,,,,,,
,,,61820,,,,,,,40.1111456,,,,4785,,,,,"[u'Beer', u'Wine & Spirits', u'Food']",Piccadilly Beverage Shops,,,,,True,0,,,,,False,,6,,,IL,,,,False,505 S Neil St,,,,,,,,,,,Champaign,,,4.0,1.0,,,,False,,,,,False,-88.2441689,,,False,,,,,,,,,,,,,,,,,,,,,,,
,,,61820,10:00-21:00,,,,,10:00-21:00,40.122052777,,,,5182,,,,,"[u'Adult Entertainment', u'Local Flavor', u'Shopping', u'Vape Shops', u'Tobacco Shops', u'Electronics', u'Nightlife']",Vapors,,,,,True,1,,,,,False,,4,,,IL,,,,False,1903 N Neil St,,12:00-19:00,,,,10:00-21:00,,,,10:00-21:00,Champaign,,10:00-21:00,3.0,3.0,,,,False,,,,,False,-88.2437539673,,,False,,10:00-21:00,,,,,,,,,,,,,,,,,,,,,
,False,,61820,11:00-21:00,,,,,11:00-22:00,40.137405,full_bar,,True,5226,,,,True,"[u'Mexican', u'Tex-Mex', u'Nightlife', u'Bars', u'Restaurants']",Chevys Fresh Mex,,,True,,True,0,,,,,True,,15,False,,IL,,,False,False,103 W Marketview Dr,casual,11:00-21:00,,,,11:00-21:00,,,,11:00-21:00,Champaign,,11:00-21:00,3.0,2.0,,False,False,False,False,True,,False,False,-88.245935,,,False,,11:00-22:00,,,,,,,,,,,,,False,,,,,,True,,False
False,,,61820,11:00-14:00,,,,,11:00-14:00,40.1212439,full_bar,False,True,5227,False,,,True,"[u'Latin American', u'Restaurants', u'Mexican', u'American (New)']",Escobar's Restaurant,,,True,False,True,0,,,,,True,,150,False,average,IL,,True,True,True,6 E Columbia Ave,casual,10:00-14:00,,,,11:00-14:00,,False,,,Champaign,,11:00-14:00,4.0,2.0,False,False,False,False,False,False,,False,False,-88.2428344,,,False,,10:00-14:00,,,True,,,,free,,,,,True,True,,,False,,False,True,True,True
,,,61820,11:00-18:00,,,,,11:00-18:00,40.1172781,,,,5228,,,,,"[u'Fashion', u'Used', u'Vintage & Consignment', u'Costumes', u'Shopping', u'Arts & Crafts']",Dandelion Vintage & Used Clothing,,,True,,True,0,,,,,False,,18,,,IL,,,,True,9 E Taylor St,,12:00-17:00,,,,11:00-18:00,,,,11:00-18:00,Champaign,,11:00-18:00,4.0,2.0,,,,False,,,,,False,-88.2428439,,,False,,11:00-18:00,,,,,,,,,,,,,,,,,,,,,
,,True,61820,10:00-18:00,,,,,10:00-18:00,40.087553899999996,,,,5366,,,,,"[u'Shopping', u'Local Services', u'Jewelry', u'Jewelry Repair']",Champaign Jewelers,,,True,,True,1,,,,,,,6,,,IL,,,,,2223 S Neil St,,,,,,10:00-18:00,,,,10:00-18:00,Champaign,,10:00-18:00,5.0,,,,,,,,,,,-88.2463104,,,,,10:00-14:00,,,,,,,,,,,False,,,,,,,,,True,
,,,61820,11:00-22:00,,,,,11:00-23:00,40.139173,full_bar,,True,5367,,,,True,"[u'Restaurants', u'Asian Fusion']",Ginger Asian Bistro,,,True,,True,0,,,,,True,,8,False,,IL,,,False,False,1902 Center Dr,casual,11:00-22:00,,,,11:00-22:00,,,,11:00-22:00,Champaign,,11:00-22:00,4.0,2.0,,False,False,False,False,True,,False,False,-88.24458100000001,,,False,,11:00-23:00,,,,,,,,,,,,,,,,,,,True,,False
False,False,,61820,11:00-0:00,False,,,False,11:00-0:00,40.0922834,full_bar,False,True,5385,False,,,True,"[u'Restaurants', u'American (Traditional)', u'Beer Bar', u'Bars', u'Salad', u'Sports Bars', u'Nightlife', u'Soup', u'Burgers']",Scotty's Brewhouse,False,True,True,False,True,1,,False,False,,True,False,72,False,very_loud,IL,False,True,True,False,2001 S Neil St,casual,11:00-23:00,True,,False,11:00-23:00,,False,,11:00-23:00,Champaign,False,11:00-23:00,3.0,2.0,False,False,False,False,True,True,,False,False,-88.245524,,,False,False,11:00-0:00,False,False,True,False,False,,free,outdoor,,False,,False,False,,,False,False,False,True,True,True
,,,61822,8:00-19:00,,,,,8:00-17:00,40.149057,,,,5587,,,,,"[u'Carpeting', u'Flooring', u'Home Services']",Flooring Surfaces Inc,False,,,,True,1,,,,,,,5,,,IL,,,,,401 E Mercury,,,,,,8:00-17:00,,,,8:00-19:00,Champaign,,8:00-17:00,4.0,,,,,,,,,,,-88.23339399999999,,,,,9:00-15:00,,,,,,,,,,,False,,,,,,,,,,
,,,61821,8:00-19:00,,,,,8:00-17:00,40.0818898,,,,5635,,,,,"[u'Beauty & Spas', u'Hair Removal', u'Doctors', u'Health & Medical', u'Skin Care', u'Medical Spas', u'Laser Hair Removal', u'Day Spas']",Bella V Med Spa,,,,,True,0,,,,,True,,5,,,IL,,,,False,"2502 Galen Dr, Ste 101",,,,,,8:00-17:00,,,,8:00-19:00,Champaign,,8:00-17:00,3.0,3.0,,,,False,,,,,False,-88.26294399999999,,,False,,,,,,,,,,,,,True,,,,,,,,,False,
,,,61820,8:00-17:00,,,,,8:00-17:00,40.118538,,,,5969,,,,,"[u'Contractors', u'Painters', u'Vinyl Siding', u'Door Sales/Installation', u'Glass & Mirrors', u'Building Supplies', u'Home Services', u'Gutter Services', u'Roofing']",Bash Pepper Roofing Company,,,,,,1,,,,,,,4,,,IL,,,,,712 N Hickory St,,0:00-0:00,,,,8:00-17:00,,,,8:00-17:00,Champaign,,8:00-17:00,4.0,,,,,,,,,,,-88.197115,,,,,0:00-0:00,,,,,,,,,,,True,,,,,,,,,,
False,False,,61820,17:00-22:00,False,,,False,17:00-22:00,40.1185125,full_bar,False,True,5970,False,,,True,"[u'Restaurants', u'Indian', u'Nightlife', u'Bars']",The Himalayan Chimney,,False,,False,True,1,,False,True,,False,False,20,False,average,IL,,False,False,False,134 W Church St,casual,17:00-21:30,False,,True,17:00-22:00,,False,,17:00-22:00,Champaign,False,17:00-22:00,4.0,2.0,False,False,False,False,True,True,,False,False,-88.2449947,,,False,False,17:00-22:00,False,True,False,False,True,,no,no,,False,,,True,,,False,False,False,True,True,False
,,,61820,10:00-19:00,,,,,10:00-19:00,40.115755,,,,6335,,,,,"[u'Food', u'Grocery', u'Restaurants', u'International Grocery', u'Ethnic Food', u'Specialty Food', u'American (New)']",Far East,,,False,,False,1,,,,,True,,29,,,IL,,,,True,105 S 5th St,,10:00-19:00,,,,10:00-19:00,,,,10:00-19:00,Champaign,,10:00-19:00,3.5,1.0,,,,False,,,,,False,-88.232332,,,False,,10:00-19:00,,,,,,,,,,,,False,,,,,,,True,True,
,,,61820,,,,,,,40.1180359,,,,6771,,,,,"[u'Antiques', u'Shopping']",The Estate Sale,,,,,True,0,,,,,False,,3,,,IL,,,,False,219 N Neil St,,,,,,,,,,,Champaign,,,4.5,,,,,False,,,,,False,-88.243877,,,False,,,,,,,,,,,,,,,,,,,,,,,
False,,,61820,15:00-1:00,True,,,False,14:00-2:00,40.110524,beer_and_wine,False,,6772,False,,,True,"[u'Food', u'Bubble Tea', u'Nightlife', u'Karaoke']",Voice KTV,False,True,True,False,True,1,,False,False,,True,True,8,,quiet,IL,,True,,False,24 E Green St,,14:00-2:00,False,,False,15:00-1:00,,False,False,15:00-1:00,Champaign,False,15:00-1:00,3.0,2.0,False,,,False,,,,,False,-88.24167299999999,,,False,True,14:00-2:00,False,True,False,False,False,,,outdoor,,True,,,,,,False,False,False,,True,False
,,,61820,,,,,,,40.116610200000004,,,,6773,,,,,"[u'Buses', u'Hotels & Travel', u'Transportation']",Suburban Express,,,,,,1,,,,,,,50,,,IL,,,,,,,,,,,,,,,,Champaign,,,2.0,,,,,,,,,,,-88.24125040000001,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61822,0:00-0:00,,,,,0:00-0:00,40.13674,,,,6929,,,,,"[u'Hotels & Travel', u'Event Planning & Services', u'Hotels']",Quality Inn & Suites,,,,,True,1,,,,,,,15,,,IL,,,,,305 Marketview Dr,,0:00-0:00,,,,0:00-0:00,,,,0:00-0:00,Champaign,,0:00-0:00,2.0,2.0,,,,,,,,,,-88.24839300000001,,,,,0:00-0:00,,,,,,,free,,,,,,,,,,,,,,
